,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
624,Triana et al NImmunology,10.1038/s41590-021-01059-0,"Sergio Triana, Dominik Vonficht, Lea Jopp-Saile, Simon Raffel, Raphael Lutz, Daniel Leonce, Magdalena Antes, Pablo Hernández-Malmierca, Diana Ordoñez-Rueda, Beáta Ramasz, Tobias Boch, Johann-Christoph Jann, Daniel Nowak, Wolf-Karsten Hofmann, Carsten Müller-Tidow, Daniel Hübschmann, Theodore Alexandrov, Vladimir Benes, Andreas Trumpp, Malte Paulsen, Lars Velten, Simon Haas",Nat Immunol,Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,20211122,,,Human,Bone marrow,BD Rhapsody & Smart-seq2,https://figshare.com/projects/Single-cell_proteo-genomic_reference_maps_of_the_human_hematopoietic_system/94469,462,RNA-seq,,,,,,,,,,,,,,6.0,2021-11-22,2021,11,22,
625,Randolph et al Science,10.1126/science.abg0928,"Haley E. Randolph, Jessica K. Fiege, Beth K. Thielen, Clayton K. Mickelson, Mari Shiratori, João Barroso-Batista, Ryan A. Langlois, Luis B. Barreiro",Science,Genetic ancestry effects on the response to viral infection are pervasive but cell type specific,20211125,10.1101/2020.12.21.423830,235000.0,Human,Blood,,GSE162632,,RNA-seq,PBMCs,Influenza A virus infection,"IAV-infected vs Mock, Genetic data",,,,,,,,,,,90.0,2021-11-25,2021,11,25,2611.1111111111113
626,Trier et al NCommunications,10.1038/s41467-021-26951-z,"Stephan M. Tirier, Jan-Philipp Mallm, Simon Steiger, Alexandra M. Poos, Mohamed H. S. Awwad, Nicola Giesen, Nicola Casiraghi, Hana Susak, Katharina Bauer, Anja Baumann, Lukas John, Anja Seckinger, Dirk Hose, Carsten Müller-Tidow, Hartmut Goldschmidt, Oliver Stegle, Michael Hundemer, Niels Weinhold, Marc S. Raab, Karsten Rippe",Nat Commun,Subclone-specific microenvironmental impact and drug response in refractory multiple myeloma revealed by single‐cell transcriptomics,20211129,,212404.0,Human,"Bone marrow, Tumor",Chromium,GSE161801,,RNA-seq,,,,,,,,,,,,,,20.0,2021-11-29,2021,11,29,10620.2
627,Chen et al Blood,10.1182/blood.2021013442,"Changya Chen, Wenbao Yu, Fatemeh Alikarami, Qi Qiu, Chia-hui Chen, Jennifer Flournoy, Peng Gao, Yasin Uzun, Li Fang, James W. Davenport, Yuxuan Hu, Qin Zhu, Kai Wang, Clara Libbrecht, Alex Felmeister, Isaiah Rozich, Yang-yang Ding, Stephen P. Hunger, Carolyn A. Felix, Hao Wu, Patrick A. Brown, Erin M. Guest, David M. Barrett, Kathrin M. Bernt, Kai Tan",Blood,"Single-cell multiomics reveals increased plasticity, resistant populations, and stem-cell–like blasts in <i>KMT2A</i>-rearranged leukemia",20211205,,,Human,,,,,,,,,,,,,,,,,,,25.0,2021-12-05,2021,12,5,
628,Wang et al NCB,10.1038/s41556-021-00796-6,"Si Wang, Xiaohong Yao, Shuai Ma, Yifang Ping, Yanling Fan, Shuhui Sun, Zhicheng He, Yu Shi, Liang Sun, Shiqi Xiao, Moshi Song, Jun Cai, Jiaming Li, Rui Tang, Liyun Zhao, Chaofu Wang, Qiaoran Wang, Lei Zhao, Huifang Hu, Xindong Liu, Guoqiang Sun, Lu Chen, Guoqing Pan, Huaiyong Chen, Qingrui Li, Peipei Zhang, Yuanyuan Xu, Huyi Feng, Guo-Guang Zhao, Tianzi Wen, Yungui Yang, Xuequan Huang, Wei Li, Zhenhua Liu, Hongmei Wang, Haibo Wu, Baoyang Hu, Yong Ren, Qi Zhou, Jing Qu, Weiqi Zhang, Guang-Hui Liu, Xiu-Wu Bian",Nat Cell Biol,A single-cell transcriptomic landscape of the lungs of patients with COVID-19,20211207,,141152.0,Human,Lung,Chromium,HRA000615,,RNA-seq,,,,,,,,,,,,,,,2021-12-07,2021,12,7,
629,Shi et al Science,10.1126/science.abj6641,"Yingchao Shi, Mengdi Wang, Da Mi, Tian Lu, Bosong Wang, Hao Dong, Suijuan Zhong, Youqiao Chen, Le Sun, Xin Zhou, Qiang Ma, Zeyuan Liu, Wei Wang, Junjing Zhang, Qian Wu, Oscar Marín, Xiaoqun Wang",Science,Mouse and human share conserved transcriptional programs for interneuron development,20211209,,56412.0,Human,Brain,,,,RNA-seq,Ganglionic eminences,,,"GW 9,12,13,16,18",,,,,,,,,,9.0,2021-12-09,2021,12,9,6268.0
630,Smajić et al Brain,10.1093/brain/awab446,"Semra Smajić, Cesar A. Prada-Medina, Zied Landoulsi, Jenny Ghelfi, Sylvie Delcambre, Carola Dietrich, Javier Jarazo, Jana Henck, Saranya Balachandran, Sinthuja Pachchek, Christopher M. Morris, Paul Antony, Bernd Timmermann, Sascha Sauer, Sandro L. Pereira, Jens C. Schwamborn, Patrick May, Anne Grünewald, Malte Spielmann",Brain,Single-cell sequencing of human midbrain reveals glial activation and a Parkinson-specific neuronal state,20211213,10.1101/2020.09.28.20202812,41000.0,Human,Brain,Chromium,GSE157783,,RNA-seq,"Midbrain, microglia",Parkinson's disease,,,12,Yes,Yes,No,Yes,No,,,,11.0,2021-12-13,2021,12,13,3727.2727272727275
631,Simone et al CBiology,10.1038/s42003-021-02931-3,"Davide Simone, Frank Penkava, Anna Ridley, Stephen Sansom, M. Hussein Al-Mossawi, Paul Bowness",Commun Biol,Single cell analysis of spondyloarthritis regulatory T cells identifies distinct synovial gene expression patterns and clonal fates,20211214,,16000.0,Human,"Blood, Synovial fluid",Chromium,E-MTAB-10948,,RNA-seq,Tregs,,,,,,,,,,,,,,2021-12-14,2021,12,14,
632,Rao et al STM,10.1126/scitranslmed.abk2267,"Shuyun Rao, Xiaochun Yang, Kazufumi Ohshiro, Sobia Zaidi, Zhanhuai Wang, Kirti Shetty, Xiyan Xiang, Md. Imtaiyaz Hassan, Taj Mohammad, Patricia S. Latham, Bao-Ngoc Nguyen, Linda Wong, Herbert Yu, Yousef Al-Abed, Bibhuti Mishra, Michele Vacca, Gareth Guenigault, Michael E. D. Allison, Antonio Vidal-Puig, Jihane N. Benhammou, Marcus Alvarez, Päivi Pajukanta, Joseph R. Pisegna, Lopa Mishra",Sci. Transl. Med.,β2-spectrin (SPTBN1) as a therapeutic target for diet-induced liver disease and preventing cancer development,20211215,,,Human,"Liver, Tumor",,,,RNA-seq,,Hepatocellular carcinoma,Tumor vs Adjacant non-tumor tissue,,,,,,,,,,,3.0,2021-12-15,2021,12,15,
633,Zheng et al Science,10.1126/science.abe6474,"Liangtao Zheng, Shishang Qin, Wen Si, Anqiang Wang, Baocai Xing, Ranran Gao, Xianwen Ren, Li Wang, Xiaojiang Wu, Ji Zhang, Nan Wu, Ning Zhang, Hong Zheng, Hanqiang Ouyang, Keyuan Chen, Zhaode Bu, Xueda Hu, Jiafu Ji, Zemin Zhang",Science,Pan-cancer single-cell landscape of tumor-infiltrating T cells,20211216,,,Human,"T cells, Tumor",Chromium,GSE156728,,RNA-seq,,,TCR,,,,,,,,,,https://zenodo.org/record/5461803,47.0,2021-12-16,2021,12,16,
634,Tuong et al CReports,10.1016/j.celrep.2021.110132,"Zewen Kelvin Tuong, Kevin W. Loudon, Brendan Berry, Nathan Richoz, Julia Jones, Xiao Tan, Quan Nguyen, Anne George, Satoshi Hori, Sarah Field, Andy G. Lynch, Katarzyna Kania, Paul Coupland, Anne Babbage, Richard Grenfell, Tristan Barrett, Anne Y. Warren, Vincent Gnanapragasam, Charlie Massie, Menna R. Clatworthy",Cell Reports,Resolving the immune landscape of human prostate at a single-cell level in health and cancer,20211221,,17106.0,Human,"Prostate, Tumor",Chromium,EGAS00001005787,,RNA-seq,,,,,,,,,,,https://cellgeni.cog.sanger.ac.uk/prostatecellatlas/prostate_portal_300921.h5ad,,,10.0,2021-12-21,2021,12,21,1710.6
635,Yoshida et al Nature,10.1038/s41586-021-04345-x,"Masahiro Yoshida, Kaylee B. Worlock, Ni Huang, Rik G. H. Lindeboom, Colin R. Butler, Natsuhiko Kumasaka, Cecilia Dominguez Conde, Lira Mamanova, Liam Bolt, Laura Richardson, Krzysztof Polanski, Elo Madissoon, Josephine L. Barnes, Jessica Allen-Hyttinen, Eliz Kilich, Brendan C. Jones, Angus de Wilton, Anna Wilbrey-Clark, Waradon Sungnak, J. Patrick Pett, Juliane Weller, Elena Prigmore, Henry Yung, Puja Mehta, Aarash Saleh, Anita Saigal, Vivian Chu, Jonathan M. Cohen, Clare Cane, Aikaterini Iordanidou, Soichi Shibuya, Ann-Kathrin Reuschl, Iván T. Herczeg, A. Christine Argento, Richard G. Wunderink, Sean B. Smith, Taylor A. Poor, Catherine A. Gao, Jane E. Dematte, G. R. Scott Budinger, Helen K. Donnelly, Nikolay S. Markov, Ziyan Lu, Gary Reynolds, Muzlifah Haniffa, Georgina S. Bowyer, Matthew Coates, Menna R. Clatworthy, Fernando J. Calero-Nieto, Berthold Göttgens, Christopher O’Callaghan, Neil J. Sebire, Clare Jolly, Paolo De Coppi, Claire M. Smith, Alexander V. Misharin, Sam M. Janes, Sarah A. Teichmann, Marko Z. Nikolić, Kerstin B. Meyer, NU SCRIPT Study Investigators",Nature,Local and systemic responses to SARS-CoV-2 infection in children and adults,20211222,,422220.0,Human,Blood,Chromium,EGAD00001007718,,RNA-seq,,,,,,,,,,,,,,78.0,2021-12-22,2021,12,22,5413.076923076923
636,Morgana et al JImmunology,10.4049/jimmunol.2100506,"Florencia Morgana, Rianne Opstelten, Manon C. Slot, Andrew M. Scott, René A. W. van Lier, Bianca Blom, Ahmed Mahfouz, Derk Amsen",J.I.,Single-Cell Transcriptomics Reveals Discrete Steps in Regulatory T Cell Development in the Human Thymus,20211222,,,Human,Thymus,,,,RNA-seq,,,,,,,,,,,,,,3.0,2021-12-22,2021,12,22,
637,Liu et al NCancer,10.1038/s43018-021-00292-8,"Baolin Liu, Xueda Hu, Kaichao Feng, Ranran Gao, Zhiqiang Xue, Sujie Zhang, Yuanyuan Zhang, Emily Corse, Yi Hu, Weidong Han, Zemin Zhang",Nat Cancer,Temporal single-cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer,20211223,,,Human,Tumor,Chromium,GSE179994,,RNA-seq,,,TCR,,,,,,,,,,,33.0,2021-12-23,2021,12,23,
638,Wang et al bioRxiv,10.1101/2021.12.22.473776,"Yifu Wang, Bingqian Guo, Yajie Guo, Nana Qi, Yufang Lv, Yu Ye, Yan Huang, Xinyang Long, Hongfei Chen, Cheng Su, Liying Zhang, Qingyun Zhang, Minxi Li, Jingling Liao, Yunkun Yan, Xingning Mao, Yanyu Zeng, Jinghang Jiang, Zhongyuan Chen, Yi Guo, Shuai Gao, Jiwen Cheng, Yonghua Jiang, Zengnan Mo",bioRxiv,A spatiotemporal steroidogenic regulatory network in human fetal adrenal glands and gonads,20211224,,128990.0,Human,"Adrenal gland, Gonad",Chromium,GSE167860,,RNA-seq,,,,"7GW, 9GW, 10GW, 13GW, 14GW",,,,,,,,,,9.0,2021-12-24,2021,12,24,14332.222222222223
639,Georg et al Cell,10.1016/j.cell.2021.12.040,"Philipp Georg, Rosario Astaburuaga-García, Lorenzo Bonaguro, Sophia Brumhard, Laura Michalick, Lena J. Lippert, Tomislav Kostevc, Christiane Gäbel, Maria Schneider, Mathias Streitz, Vadim Demichev, Ioanna Gemünd, Matthias Barone, Pinkus Tober-Lau, Elisa T. Helbig, David Hillus, Lev Petrov, Julia Stein, Hannah-Philine Dey, Daniela Paclik, Christina Iwert, Michael Mülleder, Simran Kaur Aulakh, Sonja Djudjaj, Roman D. Bülow, Henrik E. Mei, Axel R. Schulz, Andreas Thiel, Stefan Hippenstiel, Antoine-Emmanuel Saliba, Roland Eils, Irina Lehmann, Marcus A. Mall, Sebastian Stricker, Jobst Röhmel, Victor M. Corman, Dieter Beule, Emanuel Wyler, Markus Landthaler, Benedikt Obermayer, Saskia von Stillfried, Peter Boor, Münevver Demir, Hans Wesselmann, Norbert Suttorp, Alexander Uhrig, Holger Müller-Redetzky, Jacob Nattermann, Wolfgang M. Kuebler, Christian Meisel, Markus Ralser, Joachim L. Schultze, Anna C. Aschenbrenner, Charlotte Thibeault, Florian Kurth, Leif E. Sander, Nils Blüthgen, Birgit Sawitzki",Cell,Complement activation induces excessive T cell cytotoxicity in severe COVID-19,20211228,,,Human,Blood,Chromium,GSE175450,,RNA-seq,"PBMCs, T cells",,,,,,,,,,,,,,2021-12-28,2021,12,28,
640,Chen et al Theranostics,10.7150/thno.65694,"Yue Chen, Hua Wang, Qiudong Yang, Wenhua Zhao, Yuyi Chen, Qiaoqi Ni, Wenlei Li, Jiali Shi, Wei Zhang, Lu Li, Yan Xu, Hengwei Zhang, Dengshun Miao, Lianping Xing, Wen Sun",Theranostics,Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis,20220108,,51248.0,Human,Periodontal tissue,BD Rhapsody,GSE171213,,RNA-seq,,,,,,,Yes,,,,,,,12.0,2022-01-08,2022,1,8,4270.666666666667
641,Song et al NCommunications,10.1038/s41467-021-27322-4,"Hanbing Song, Hannah N. W. Weinstein, Paul Allegakoen, Marc H. Wadsworth, Jamie Xie, Heiko Yang, Ethan A. Castro, Kevin L. Lu, Bradley A. Stohr, Felix Y. Feng, Peter R. Carroll, Bruce Wang, Matthew R. Cooperberg, Alex K. Shalek, Franklin W. Huang",Nat Commun,Single-cell analysis of human primary prostate cancer reveals the heterogeneity of tumor-associated epithelial cell states,20220110,,21743.0,Human,"Prostate, Tumor",Seq-Well S3,GSE176031,,RNA-seq,,Prostate cancer,,,9,Yes,Yes,No,Yes,No,,,,11.0,2022-01-10,2022,1,10,1976.6363636363637
642,Guilliams et al bioRxiv,10.1016/j.cell.2021.12.018,"Martin Guilliams, Johnny Bonnardel, Birthe Haest, Bart Vanderborght, Camille Wagner, Anneleen Remmerie, Anna Bujko, Liesbet Martens, Tinne Thoné, Robin Browaeys, Federico F. De Ponti, Bavo Vanneste, Christian Zwicker, Freya R. Svedberg, Tineke Vanhalewyn, Amanda Gonçalves, Saskia Lippens, Bert Devriendt, Eric Cox, Giuliano Ferrero, Valerie Wittamer, Andy Willaert, Suzanne J.F. Kaptein, Johan Neyts, Kai Dallmeier, Peter Geldhof, Stijn Casaert, Bart Deplancke, Peter ten Dijke, Anne Hoorens, Aude Vanlander, Frederik Berrevoet, Yves Van Nieuwenhove, Yvan Saeys, Wouter Saelens, Hans Van Vlierberghe, Lindsey Devisscher, Charlotte L. Scott",Cell,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,20220111,,,"Human, Mouse",Liver,CITE-seq,GSE192742,,RNA-seq,,,,,,,,,,,,,,19.0,2022-01-11,2022,1,11,
643,Kihara et al bioRxiv,10.1101/2022.01.10.475705,"Yasuyuki Kihara, Yunjiao Zhu, Deepa Jonnalagadda, William Romanow, Carter Palmer, Benjamin Siddoway, Richard Rivera, Ranjan Dutta, Bruce D. Trapp, Jerold Chun",bioRxiv,Single-nucleus RNA-seq of normal-appearing brain regions in relapsing-remitting vs. secondary progressive multiple sclerosis,20220113,10.1101/2022.01.10.475705,33197.0,Human,Brain,Chroomium,,,RNA-seq,,Multiple sclerosis,,,,,,,,,,,,8.0,2022-01-13,2022,1,13,4149.625
644,Liu et al FNeurology,10.3389/fneur.2021.807646,"Ju Liu, Xiaoyan Yang, Jiali Pan, Zhihua Wei, Peidong Liu, Min Chen, Hongbo Liu",Front. Neurol.,Single-Cell Transcriptome Profiling Unravels Distinct Peripheral Blood Immune Cell Signatures of RRMS and MOG Antibody-Associated Disease,20220114,,18016.0,Human,Blood,Chromium,,,RNA-seq,PBMCs,,,,,,,,,,,,,3.0,2022-01-14,2022,1,14,6005.333333333333
645,Kong et al FImmunology,10.3389/fimmu.2021.767618,"Fanhua Kong, Shaojun Ye, Zibiao Zhong, Xin Zhou, Wei Zhou, Zhongzhong Liu, Jianan Lan, Yan Xiong, Qifa Ye",Front. Immunol.,Single-Cell Transcriptome Analysis of Chronic Antibody-Mediated Rejection After Renal Transplantation,20220117,,39285.0,Human,Blood,GEXSCOPE,GSE190329,,RNA-seq,,,cABMR vs Control,,,,,,,,,,,4.0,2022-01-17,2022,1,17,9821.25
646,Ahern et al Cell,10.1016/j.cell.2022.01.012,"David J. Ahern, Zhichao Ai, Mark Ainsworth, Chris Allan, Alice Allcock, Brian Angus, M. Azim Ansari, Carolina V. Arancibia-Cárcamo, Dominik Aschenbrenner, Moustafa Attar, J. Kenneth Baillie, Eleanor Barnes, Rachael Bashford-Rogers, Archana Bashyal, Sally Beer, Georgina Berridge, Amy Beveridge, Sagida Bibi, Tihana Bicanic, Luke Blackwell, Paul Bowness, Andrew Brent, Andrew Brown, John Broxholme, David Buck, Katie L. Burnham, Helen Byrne, Susana Camara, Ivan Candido Ferreira, Philip Charles, Wentao Chen, Yi-Ling Chen, Amanda Chong, Elizabeth A. Clutterbuck, Mark Coles, Christopher P. Conlon, Richard Cornall, Adam P. Cribbs, Fabiola Curion, Emma E. Davenport, Neil Davidson, Simon Davis, Calliope A. Dendrou, Julie Dequaire, Lea Dib, James Docker, Christina Dold, Tao Dong, Damien Downes, Hal Drakesmith, Susanna J. Dunachie, David A. Duncan, Chris Eijsbouts, Robert Esnouf, Alexis Espinosa, Rachel Etherington, Benjamin Fairfax, Rory Fairhead, Hai Fang, Shayan Fassih, Sally Felle, Maria Fernandez Mendoza, Ricardo Ferreira, Roman Fischer, Thomas Foord, Aden Forrow, John Frater, Anastasia Fries, Veronica Gallardo Sanchez, Lucy C. Garner, Clementine Geeves, Dominique Georgiou, Leila Godfrey, Tanya Golubchik, Maria Gomez Vazquez, Angie Green, Hong Harper, Heather A. Harrington, Raphael Heilig, Svenja Hester, Jennifer Hill, Charles Hinds, Clare Hird, Ling-Pei Ho, Renee Hoekzema, Benjamin Hollis, Jim Hughes, Paula Hutton, Matthew A. Jackson-Wood, Ashwin Jainarayanan, Anna James-Bott, Kathrin Jansen, Katie Jeffery, Elizabeth Jones, Luke Jostins, Georgina Kerr, David Kim, Paul Klenerman, Julian C. Knight, Vinod Kumar, Piyush Kumar Sharma, Prathiba Kurupati, Andrew Kwok, Angela Lee, Aline Linder, Teresa Lockett, Lorne Lonie, Maria Lopopolo, Martyna Lukoseviciute, Jian Luo, Spyridoula Marinou, Brian Marsden, Jose Martinez, Philippa C. Matthews, Michalina Mazurczyk, Simon McGowan, Stuart McKechnie, Adam Mead, Alexander J. Mentzer, Yuxin Mi, Claudia Monaco, Ruddy Montadon, Giorgio Napolitani, Isar Nassiri, Alex Novak, Darragh P. O'Brien, Daniel O'Connor, Denise O'Donnell, Graham Ogg, Lauren Overend, Inhye Park, Ian Pavord, Yanchun Peng, Frank Penkava, Mariana Pereira Pinho, Elena Perez, Andrew J. Pollard, Fiona Powrie, Bethan Psaila, T. Phuong Quan, Emmanouela Repapi, Santiago Revale, Laura Silva-Reyes, Jean-Baptiste Richard, Charlotte Rich-Griffin, Thomas Ritter, Christine S. Rollier, Matthew Rowland, Fabian Ruehle, Mariolina Salio, Stephen Nicholas Sansom, Raphael Sanches Peres, Alberto Santos Delgado, Tatjana Sauka-Spengler, Ron Schwessinger, Giuseppe Scozzafava, Gavin Screaton, Anna Seigal, Malcolm G. Semple, Martin Sergeant, Christina Simoglou Karali, David Sims, Donal Skelly, Hubert Slawinski, Alberto Sobrinodiaz, Nikolaos Sousos, Lizzie Stafford, Lisa Stockdale, Marie Strickland, Otto Sumray, Bo Sun, Chelsea Taylor, Stephen Taylor, Adan Taylor, Supat Thongjuea, Hannah Thraves, John A. Todd, Adriana Tomic, Orion Tong, Amy Trebes, Dominik Trzupek, Felicia Anna Tucci, Lance Turtle, Irina Udalova, Holm Uhlig, Erinke van Grinsven, Iolanda Vendrell, Marije Verheul, Alexandru Voda, Guanlin Wang, Lihui Wang, Dapeng Wang, Peter Watkinson, Robert Watson, Michael Weinberger, Justin Whalley, Lorna Witty, Katherine Wray, Luzheng Xue, Hing Yuen Yeung, Zixi Yin, Rebecca K. Young, Jonathan Youngs, Ping Zhang, Yasemin-Xiomara Zurke",Cell,A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,20220121,,836148.0,Human,Blood,Chromium,https://doi.org/10.5281/zenodo.6120249,,RNA-seq,PBMCs,"COVID-19, Influenza",Proteins,,,,No,Yes,Yes,Yes,,,,268.0,2022-01-21,2022,1,21,3119.955223880597
647,Buonomo et al JHepatology,10.1016/j.jhep.2021.12.036,"Erica L. Buonomo, Shenglin Mei, Samantha R. Guinn, Isabelle R. Leo, Michael J. Peluso, Mei-An Nolan, Frank A. Schildberg, Lei Zhao, Christine Lian, Shuyun Xu, Joseph Misdraji, Peter V. Kharchenko, Arlene H. Sharpe",Journal of Hepatology,Liver stromal cells restrict macrophage maturation and stromal IL-6 limits the differentiation of cirrhosis-linked macrophages,20220121,,,Human,Liver,Chromium,GSE168933,,RNA-seq,,,Liver fibrosis vs Healthy control,,,,,,,,,,,12.0,2022-01-21,2022,1,21,
648,Cai et al JEM,10.1084/jem.20211777,"Yi Cai, Yejun Wang, Chenyan Shi, Youchao Dai, Fuxiang Li, Yuzhong Xu, Peize Zhang, Fanhui Kong, Guofang Deng, Zhihua Wen, Qi Zhou, Boxi Chris Kang, Amit Singhal, Qianting Yang, Carl G. Feng, Xinchun Chen",Journal of Experimental Medicine,Single-cell immune profiling reveals functional diversity of T cells in tuberculous pleural effusion,20220121,,,Human,Blood,,,,RNA-seq,,Tuberculosis,,,,,,,,,,,,3.0,2022-01-21,2022,1,21,
649,Hu et al Diabetes,10.2337/db21-0551,"Zizhong Hu, Xiying Mao, Mingkang Chen, Xinjing Wu, Tianye Zhu, Yu Liu, Zhengyu Zhang, Wen Fan, Ping Xie, Songtao Yuan, Qinghuai Liu",Diabetes,Single-cell transcriptomics reveals novel role of microglia in fibrovascular membrane of proliferative diabetic retinopathy.,20220121,,6894.0,Human,Eye,,,,RNA-seq,,,,,8,Yes,,,,,,,,5.0,2022-01-21,2022,1,21,1378.8
650,Guo et al CInsight,10.1016/j.cellin.2022.100005,"Qinglong Guo, Yu Zhong, Zhifeng Wang, Tingzhi Cao, Mingyuan Zhang, Peiyan Zhang, Waidong Huang, Jing Bi, Yue Yuan, Min Ou, Xuanxuan Zou, Guohui Xiao, Yuan Yang, Shiping Liu, Longqi Liu, Zhaoqin Wang, Guoliang Zhang, Liang Wu",Cell Insight,Single-cell transcriptomic landscape identifies the expansion of peripheral blood monocytes as an indicator of HIV-1-TB co-infection,20220121,,61397.0,Human,Blood,DNBelab C4,CNP0002505,,RNA-seq,,"HIV-1, Tuberculosis",,,,,,,,,,,,11.0,2022-01-21,2022,1,21,5581.545454545455
651,Winkler et al Science,10.1126/science.abi7377,"Ethan A. Winkler, Chang N. Kim, Jayden M. Ross, Joseph H. Garcia, Eugene Gil, Irene Oh, Lindsay Q. Chen, David Wu, Joshua S. Catapano, Kunal Raygor, Kazim Narsinh, Helen Kim, Shantel Weinsheimer, Daniel L. Cooke, Brian P. Walcott, Michael T. Lawton, Nalin Gupta, Berislav V. Zlokovic, Edward F. Chang, Adib A. Abla, Daniel A. Lim, Tomasz J. Nowakowski",Science,A single-cell atlas of the normal and malformed human brain vasculature,20220127,,181388.0,Human,Brain,,,,RNA-seq,,,,,,,,,,,,,,5.0,2022-01-27,2022,1,27,36277.6
652,Li et al bioRxiv,10.1101/2022.01.26.477664,"Hongzhe Li, Sandro Bräunig, Stefan Lang, Stefan Scheding",bioRxiv,"Single-cell RNA sequencing identifies phenotypically, functionally, and anatomically distinct stromal niche populations in human bone marrow",20220128,10.1101/2022.01.26.477664,25067.0,Human,Bone marrow,Chromium,GSE190965,,RNA-seq,,,,,6,,,,,,,,,9.0,2022-01-28,2022,1,28,2785.222222222222
653,Lou et al medRxiv,10.1101/2022.01.21.22269639,"Bowen Lou, Manyun Guo, Fangyuan Chen, Chen Wang, Gulinigaer Tuerhongjiang, Tao Zheng, Bo Zhou, Zuyi Yuan, Jianqing She",medRxiv,Single-Cell RNA Sequencing Reveals the Altered Landscape of Immune Cells in Immune Checkpoint Inhibitor Related Myocarditis,20220128,10.1101/2022.01.21.22269639,17729.0,Human,Blood,Chromium,,,RNA-seq,,Myocarditis ,,,17,,,,,,,,,1.0,2022-01-28,2022,1,28,17729.0
654,Twigger et al NCommunications,10.1038/s41467-021-27895-0,"Alecia-Jane Twigger, Lisa K. Engelbrecht, Karsten Bach, Isabel Schultz-Pernice, Sara Pensa, Jack Stenning, Stefania Petricca, Christina H. Scheel, Walid T. Khaled",Nat Commun,Transcriptional changes in the mammary gland during lactation revealed by single cell sequencing of cells from human milk,20220128,,110744.0,Human,Breast,Chromium,,,RNA-seq,,,,,,,,,,,,,,16.0,2022-01-28,2022,1,28,6921.5
