,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
1636,Yoshida et al Nature,10.1038/s41586-021-04345-x,78,,"Single-cell RNA sequencing data was analyzed for a total of 93 donors (patients and healthy individuals) in this study. (Source: ""Here, to examine the differences between children and adults in their response to SARS-CoV-2 infection, we analysed paediatric and adult patients with COVID-19 as well as healthy control individuals (total n  = 93) using single-cell multi-omic profiling of matched nasal, tracheal, bronchial and blood samples."")",Human,"422,220",Blood,Blood,1,,,"Masahiro Yoshida, Kaylee B. Worlock, Ni Huang, Rik G. H. Lindeboom, Colin R. Butler, Natsuhiko Kumasaka, Cecilia Dominguez Conde, Lira Mamanova, Liam Bolt, Laura Richardson, Krzysztof Polanski, Elo Madissoon, Josephine L. Barnes, Jessica Allen-Hyttinen, Eliz Kilich, Brendan C. Jones, Angus de Wilton, Anna Wilbrey-Clark, Waradon Sungnak, J. Patrick Pett, Juliane Weller, Elena Prigmore, Henry Yung, Puja Mehta, Aarash Saleh, Anita Saigal, Vivian Chu, Jonathan M. Cohen, Clare Cane, Aikaterini Iordanidou, Soichi Shibuya, Ann-Kathrin Reuschl, Iván T. Herczeg, A. Christine Argento, Richard G. Wunderink, Sean B. Smith, Taylor A. Poor, Catherine A. Gao, Jane E. Dematte, G. R. Scott Budinger, Helen K. Donnelly, Nikolay S. Markov, Ziyan Lu, Gary Reynolds, Muzlifah Haniffa, Georgina S. Bowyer, Matthew Coates, Menna R. Clatworthy, Fernando J. Calero-Nieto, Berthold Göttgens, Christopher O’Callaghan, Neil J. Sebire, Clare Jolly, Paolo De Coppi, Claire M. Smith, Alexander V. Misharin, Sam M. Janes, Sarah A. Teichmann, Marko Z. Nikolić, Kerstin B. Meyer, NU SCRIPT Study Investigators",Nature,Local and systemic responses to SARS-CoV-2 infection in children and adults,22/12/2021,,Chromium,EGAD00001007718,,RNA-seq,,,,,,,,,,,,,10.1038/s41586-021-04345-x,1,Yoshida et al Nature,1,78
1637,Morgana et al JImmunology,10.4049/jimmunol.2100506,3,"We specifically focused on the IL2RA+ fraction of Treg cells from the infant portion of the dataset (comprising three donors), as our data stem from infant-derived CD25+ thymocytes",,Human,,Thymus,Lymphoid system,3,,,"Florencia Morgana, Rianne Opstelten, Manon C. Slot, Andrew M. Scott, René A. W. van Lier, Bianca Blom, Ahmed Mahfouz, Derk Amsen",J.I.,Single-Cell Transcriptomics Reveals Discrete Steps in Regulatory T Cell Development in the Human Thymus,22/12/2021,,,,,RNA-seq,,,,,,,,,,,,,10.4049/jimmunol.2100506,1,Morgana et al JImmunology,1,
1638,Liu et al NCancer,10.1038/s43018-021-00292-8,33,,Single-cell RNA sequencing data were analyzed for 36 patients with non-small-cell lung cancer (NSCLC) in this study.,Human,,Tumor,Tumor,3,TCR,,"Baolin Liu, Xueda Hu, Kaichao Feng, Ranran Gao, Zhiqiang Xue, Sujie Zhang, Yuanyuan Zhang, Emily Corse, Yi Hu, Weidong Han, Zemin Zhang",Nat Cancer,Temporal single-cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer,23/12/2021,,Chromium,GSE179994,,RNA-seq,,,,,,,,,,,,,10.1038/s43018-021-00292-8,1,Liu et al NCancer,1,33
1639,Wang et al bioRxiv,10.1101/2021.12.22.473776,9,,"Single-cell RNA sequencing data were analyzed for multiple donors, but the exact number is not specified in the given text.",Human,"128,990","Adrenal gland, Gonad",Several,3,,,"Yifu Wang, Bingqian Guo, Yajie Guo, Nana Qi, Yufang Lv, Yu Ye, Yan Huang, Xinyang Long, Hongfei Chen, Cheng Su, Liying Zhang, Qingyun Zhang, Minxi Li, Jingling Liao, Yunkun Yan, Xingning Mao, Yanyu Zeng, Jinghang Jiang, Zhongyuan Chen, Yi Guo, Shuai Gao, Jiwen Cheng, Yonghua Jiang, Zengnan Mo",bioRxiv,A spatiotemporal steroidogenic regulatory network in human fetal adrenal glands and gonads,24/12/2021,,Chromium,GSE167860,,RNA-seq,,,"7GW, 9GW, 10GW, 13GW, 14GW",,,,,,,,,,10.1101/2021.12.22.473776,1,Wang et al bioRxiv,1,9
1640,Mo et al EMBOJournal,10.15252/embj.2021108415,,,,Mouse,,Bone marrow,,,,,"Chunyang Mo, Jingxin Guo, Jiachen Qin, Xiaoying Zhang, Yuxi Sun, Hanjing Wei, Dandan Cao, Yiying Zhang, Chengchen Zhao, Yanhong Xiong, Yong Zhang, Yao Sun, Li Shen, Rui Yue",The EMBO Journal,Single‐cell transcriptomics of LepR‐positive skeletal cells reveals heterogeneous stress‐dependent stem and progenitor pools,20211227,,,,,RNA-seq,,,,,,,,,,,,,10.15252/embj.2021108415,1,Mo et al EMBOJournal,1,
1641,Landis et al mBio,10.1128/mbio.03473-21,,,,Human,841,Culture,,,,,"Justin T. Landis, Ryan Tuck, Yue Pan, Carson N. Mosso, Anthony B. Eason, Razia Moorad, J. Stephen Marron, Dirk P. Dittmer",mBio,Evidence for Multiple Subpopulations of Herpesvirus-Latently Infected Cells,20220104,,BD Rhapsody,,,RNA-seq,,,,,,,,,,,,,10.1128/mbio.03473-21,1,Landis et al mBio,1,
1642,Gervais et al bioRxiv,10.1101/2022.01.04.474990,,,,Salmon,"1,769",Culture,,,,,"Ophélie Gervais, Remi Gratacap, Athina Papadopoulou, Ross D. Houston, Musa A. Hassan, Diego Robledo",bioRxiv,Understanding host response to infectious salmon anaemia virus in an Atlantic salmon cell line using single-cell RNA sequencing,20220105,10.1101/2022.01.04.474990,Chromium,,,RNA-seq,,,,8,Yes,No,No,,No,,,,10.1101/2022.01.04.474990,1,Gervais et al bioRxiv,1,
1643,Wang et al SAdvances,10.1126/sciadv.abg5369,,,,Mouse,,,,,,,"Fang Wang, Puwen Tan, Pengcheng Zhang, Yue Ren, Jie Zhou, Yunqiao Li, Siyuan Hou, Shuaili Li, Linlin Zhang, Yanni Ma, Chaojie Wang, Wanbo Tang, Xiaoshuang Wang, Yue Huo, Yongfei Hu, Tianyu Cui, Chao Niu, Dong Wang, Bing Liu, Yu Lan, Jia Yu",Sci. Adv.,Single-cell architecture and functional requirement of alternative splicing during hematopoietic stem cell formation,20220107,,,,,RNA-seq,,,,,,,,,,,,,10.1126/sciadv.abg5369,1,Wang et al SAdvances,1,
1644,Chen et al Theranostics,10.7150/thno.65694,12,,,Human,"51,248",Periodontal tissue,Digestive system,3,,,"Yue Chen, Hua Wang, Qiudong Yang, Wenhua Zhao, Yuyi Chen, Qiaoqi Ni, Wenlei Li, Jiali Shi, Wei Zhang, Lu Li, Yan Xu, Hengwei Zhang, Dengshun Miao, Lianping Xing, Wen Sun",Theranostics,Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis,08/01/2022,,BD Rhapsody,GSE171213,,RNA-seq,,,,,,Yes,,,,,,,10.7150/thno.65694,1,Chen et al Theranostics,1,12
1645,Song et al NCommunications,10.1038/s41467-021-27322-4,11,,Single-cell RNA sequencing data was analyzed for a total of 11 patients in this study.,Human,"21,743","Prostate, Tumor",Reproductive system,3,,,"Hanbing Song, Hannah N. W. Weinstein, Paul Allegakoen, Marc H. Wadsworth, Jamie Xie, Heiko Yang, Ethan A. Castro, Kevin L. Lu, Bradley A. Stohr, Felix Y. Feng, Peter R. Carroll, Bruce Wang, Matthew R. Cooperberg, Alex K. Shalek, Franklin W. Huang",Nat Commun,Single-cell analysis of human primary prostate cancer reveals the heterogeneity of tumor-associated epithelial cell states,10/01/2022,,Seq-Well S3,GSE176031,,RNA-seq,,Prostate cancer,,9,Yes,Yes,No,Yes,No,,,,10.1038/s41467-021-27322-4,1,Song et al NCommunications,1,11
1646,Fabian et al NCommunications,10.1038/s41467-021-27594-w,,,,Zebrafish,,,,,,,"Peter Fabian, Kuo-Chang Tseng, Mathi Thiruppathy, Claire Arata, Hung-Jhen Chen, Joanna Smeeton, Nellie Nelson, J. Gage Crump",Nat Commun,Lifelong single-cell profiling of cranial neural crest diversification in zebrafish,20220110,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41467-021-27594-w,1,Fabian et al NCommunications,1,
1647,Honnell et al NCommunications,10.1038/s41467-021-27924-y,,,,Mouse,"41,629",Eye,,,,,"Victoria Honnell, Jackie L. Norrie, Anand G. Patel, Cody Ramirez, Jiakun Zhang, Yu-Hsuan Lai, Shibiao Wan, Michael A. Dyer",Nat Commun,Identification of a modular super-enhancer in murine retinal development,20220111,,,,,RNA-seq,Retina,,E14.5,,,,,,,,,,10.1038/s41467-021-27924-y,1,Honnell et al NCommunications,1,
1648,Guilliams et al bioRxiv,10.1016/j.cell.2021.12.018,19,,"The analysis of the human liver remains restricted by the number of human patients included (19 patients for the sc/snRNA-seq, 4 patients for Visium, and 15 patients by microscopy). Source: the third sentence in the fifth paragraph.","Human, Mouse",,Liver,Digestive system,3,,,"Martin Guilliams, Johnny Bonnardel, Birthe Haest, Bart Vanderborght, Camille Wagner, Anneleen Remmerie, Anna Bujko, Liesbet Martens, Tinne Thoné, Robin Browaeys, Federico F. De Ponti, Bavo Vanneste, Christian Zwicker, Freya R. Svedberg, Tineke Vanhalewyn, Amanda Gonçalves, Saskia Lippens, Bert Devriendt, Eric Cox, Giuliano Ferrero, Valerie Wittamer, Andy Willaert, Suzanne J.F. Kaptein, Johan Neyts, Kai Dallmeier, Peter Geldhof, Stijn Casaert, Bart Deplancke, Peter ten Dijke, Anne Hoorens, Aude Vanlander, Frederik Berrevoet, Yves Van Nieuwenhove, Yvan Saeys, Wouter Saelens, Hans Van Vlierberghe, Lindsey Devisscher, Charlotte L. Scott",Cell,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,11/01/2022,,CITE-seq,GSE192742,,RNA-seq,,,,,,,,,,,,,10.1016/j.cell.2021.12.018,1,Guilliams et al bioRxiv,1,
1649,Wiarda et al bioRxiv,10.1101/2022.01.09.475571,,,,Pig,"31,983",Ileum,,,,,"Jayne E. Wiarda, Julian M. Trachsel, Sathesh K. Sivasankaran, Christopher K. Tuggle, Crystal L. Loving",bioRxiv,Porcine intestinal innate lymphoid cells and lymphocyte spatial context revealed through single-cell RNA sequencing,20220111,10.1101/2022.01.09.475571,Chromium,,,RNA-seq,,,,26,,,,,,,,,10.1101/2022.01.09.475571,1,Wiarda et al bioRxiv,1,
1650,Kihara et al bioRxiv,10.1101/2022.01.10.475705,8,,"The study analyzed single-nucleus RNA-seq data from normal-appearing brains of donors with non-lesioned multiple sclerosis, but the number of donors is not specified in the given paragraph.",Human,"33,197",Brain,Brain,3,,,"Yasuyuki Kihara, Yunjiao Zhu, Deepa Jonnalagadda, William Romanow, Carter Palmer, Benjamin Siddoway, Richard Rivera, Ranjan Dutta, Bruce D. Trapp, Jerold Chun",bioRxiv,Single-nucleus RNA-seq of normal-appearing brain regions in relapsing-remitting vs. secondary progressive multiple sclerosis,13/01/2022,10.1101/2022.01.10.475705,Chroomium,,,RNA-seq,,Multiple sclerosis,,,,,,,,,,,10.1101/2022.01.10.475705,1,Kihara et al bioRxiv,1,8
1651,Jin et al SMethods,10.1002/smtd.202100752,,,,Mouse,,Heart,,,,,"Kaiyu Jin, Shan Gao, Penghui Yang, Rongfang Guo, Dan Li, Yunsha Zhang, Xiaoyan Lu, Guanwei Fan, Xiaohui Fan",Small Methods,Single‐Cell RNA Sequencing Reveals the Temporal Diversity and Dynamics of Cardiac Immunity after Myocardial Infarction,20220113,,,,,RNA-seq,CD45+,,,,,,,,,,,,10.1002/smtd.202100752,1,Jin et al SMethods,1,
1652,Borm et al bioRxiv,10.1101/2022.01.12.476082,,,,Mouse,,Brain,,,,,"Lars E. Borm, Alejandro Mossi Albiach, Camiel C.A. Mannens, Jokubas Janusauskas, Ceren Özgün, David Fernández-García, Rebecca Hodge, Ed S. Lein, Simone Codeluppi, Sten Linnarsson",bioRxiv,Scalable in situ single-cell profiling by electrophoretic capture of mRNA,20220113,10.1101/2022.01.12.476082,EEL FISH,,440,In Situ,,,,,,,,,,,,,10.1101/2022.01.12.476082,1,Borm et al bioRxiv,1,
1653,Liu et al FNeurology,10.3389/fneur.2021.807646,3,,"Three donors/patients/individuals had their peripheral blood analyzed using single-cell RNA sequencing in this study. This information can be found in the sentence: ""Single-cell RNA sequencing (scRNA-seq) was conducted on the peripheral blood from three subjects.""",Human,"18,016",Blood,Blood,1,,,"Ju Liu, Xiaoyan Yang, Jiali Pan, Zhihua Wei, Peidong Liu, Min Chen, Hongbo Liu",Front. Neurol.,Single-Cell Transcriptome Profiling Unravels Distinct Peripheral Blood Immune Cell Signatures of RRMS and MOG Antibody-Associated Disease,14/01/2022,,Chromium,,,RNA-seq,PBMCs,,,,,,,,,,,,10.3389/fneur.2021.807646,1,Liu et al FNeurology,1,3
1654,Zeng et al bioRxiv,10.1101/2022.01.14.476072,,,,Mouse,,Brain,,,,,"Hu Zeng, Jiahao Huang, Haowen Zhou, William J. Meilandt, Borislav Dejanovic, Yiming Zhou, Christopher J. Bohlen, Seung-Hye Lee, Jingyi Ren, Albert Liu, Hao Sheng, Jia Liu, Morgan Sheng, Xiao Wang",bioRxiv,Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in an Alzheimer’s disease model,20220117,,STARmap PLUS,,,In Situ,,,,,,,,,,,,,10.1101/2022.01.14.476072,1,Zeng et al bioRxiv,1,
1655,Kong et al FImmunology,10.3389/fimmu.2021.767618,4,,"Single-cell RNA sequencing data was analyzed for 4 donors (2 with chronic antibody-mediated rejection and 2 controls) in this study. 

Source sentence: ""To characterize the immunological features of patients with cABMR, we performed microwell-based scRNA-seq to evaluate the transcriptomic pro ﬁles of PBMCs from 2 cABMR patients and 2 control patients did not experience rejection after renal transplantation as controls.""",Human,"39,285",Blood,Blood,1,cABMR vs Control,,"Fanhua Kong, Shaojun Ye, Zibiao Zhong, Xin Zhou, Wei Zhou, Zhongzhong Liu, Jianan Lan, Yan Xiong, Qifa Ye",Front. Immunol.,Single-Cell Transcriptome Analysis of Chronic Antibody-Mediated Rejection After Renal Transplantation,17/01/2022,,GEXSCOPE,GSE190329,,RNA-seq,,,,,,,,,,,,,10.3389/fimmu.2021.767618,1,Kong et al FImmunology,1,4
1656,Ahern et al Cell,10.1016/j.cell.2022.01.012,268,,,Human,"836,148",Blood,Blood,1,Proteins,,"David J. Ahern, Zhichao Ai, Mark Ainsworth, Chris Allan, Alice Allcock, Brian Angus, M. Azim Ansari, Carolina V. Arancibia-Cárcamo, Dominik Aschenbrenner, Moustafa Attar, J. Kenneth Baillie, Eleanor Barnes, Rachael Bashford-Rogers, Archana Bashyal, Sally Beer, Georgina Berridge, Amy Beveridge, Sagida Bibi, Tihana Bicanic, Luke Blackwell, Paul Bowness, Andrew Brent, Andrew Brown, John Broxholme, David Buck, Katie L. Burnham, Helen Byrne, Susana Camara, Ivan Candido Ferreira, Philip Charles, Wentao Chen, Yi-Ling Chen, Amanda Chong, Elizabeth A. Clutterbuck, Mark Coles, Christopher P. Conlon, Richard Cornall, Adam P. Cribbs, Fabiola Curion, Emma E. Davenport, Neil Davidson, Simon Davis, Calliope A. Dendrou, Julie Dequaire, Lea Dib, James Docker, Christina Dold, Tao Dong, Damien Downes, Hal Drakesmith, Susanna J. Dunachie, David A. Duncan, Chris Eijsbouts, Robert Esnouf, Alexis Espinosa, Rachel Etherington, Benjamin Fairfax, Rory Fairhead, Hai Fang, Shayan Fassih, Sally Felle, Maria Fernandez Mendoza, Ricardo Ferreira, Roman Fischer, Thomas Foord, Aden Forrow, John Frater, Anastasia Fries, Veronica Gallardo Sanchez, Lucy C. Garner, Clementine Geeves, Dominique Georgiou, Leila Godfrey, Tanya Golubchik, Maria Gomez Vazquez, Angie Green, Hong Harper, Heather A. Harrington, Raphael Heilig, Svenja Hester, Jennifer Hill, Charles Hinds, Clare Hird, Ling-Pei Ho, Renee Hoekzema, Benjamin Hollis, Jim Hughes, Paula Hutton, Matthew A. Jackson-Wood, Ashwin Jainarayanan, Anna James-Bott, Kathrin Jansen, Katie Jeffery, Elizabeth Jones, Luke Jostins, Georgina Kerr, David Kim, Paul Klenerman, Julian C. Knight, Vinod Kumar, Piyush Kumar Sharma, Prathiba Kurupati, Andrew Kwok, Angela Lee, Aline Linder, Teresa Lockett, Lorne Lonie, Maria Lopopolo, Martyna Lukoseviciute, Jian Luo, Spyridoula Marinou, Brian Marsden, Jose Martinez, Philippa C. Matthews, Michalina Mazurczyk, Simon McGowan, Stuart McKechnie, Adam Mead, Alexander J. Mentzer, Yuxin Mi, Claudia Monaco, Ruddy Montadon, Giorgio Napolitani, Isar Nassiri, Alex Novak, Darragh P. O'Brien, Daniel O'Connor, Denise O'Donnell, Graham Ogg, Lauren Overend, Inhye Park, Ian Pavord, Yanchun Peng, Frank Penkava, Mariana Pereira Pinho, Elena Perez, Andrew J. Pollard, Fiona Powrie, Bethan Psaila, T. Phuong Quan, Emmanouela Repapi, Santiago Revale, Laura Silva-Reyes, Jean-Baptiste Richard, Charlotte Rich-Griffin, Thomas Ritter, Christine S. Rollier, Matthew Rowland, Fabian Ruehle, Mariolina Salio, Stephen Nicholas Sansom, Raphael Sanches Peres, Alberto Santos Delgado, Tatjana Sauka-Spengler, Ron Schwessinger, Giuseppe Scozzafava, Gavin Screaton, Anna Seigal, Malcolm G. Semple, Martin Sergeant, Christina Simoglou Karali, David Sims, Donal Skelly, Hubert Slawinski, Alberto Sobrinodiaz, Nikolaos Sousos, Lizzie Stafford, Lisa Stockdale, Marie Strickland, Otto Sumray, Bo Sun, Chelsea Taylor, Stephen Taylor, Adan Taylor, Supat Thongjuea, Hannah Thraves, John A. Todd, Adriana Tomic, Orion Tong, Amy Trebes, Dominik Trzupek, Felicia Anna Tucci, Lance Turtle, Irina Udalova, Holm Uhlig, Erinke van Grinsven, Iolanda Vendrell, Marije Verheul, Alexandru Voda, Guanlin Wang, Lihui Wang, Dapeng Wang, Peter Watkinson, Robert Watson, Michael Weinberger, Justin Whalley, Lorna Witty, Katherine Wray, Luzheng Xue, Hing Yuen Yeung, Zixi Yin, Rebecca K. Young, Jonathan Youngs, Ping Zhang, Yasemin-Xiomara Zurke",Cell,A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,21/01/2022,,Chromium,https://doi.org/10.5281/zenodo.6120249,,RNA-seq,PBMCs,"COVID-19, Influenza",,,,No,Yes,Yes,Yes,,,,10.1016/j.cell.2022.01.012,1,Ahern et al Cell,1,268
1657,Buonomo et al JHepatology,10.1016/j.jhep.2021.12.036,12,,,Human,,Liver,Digestive system,3,Liver fibrosis vs Healthy control,,"Erica L. Buonomo, Shenglin Mei, Samantha R. Guinn, Isabelle R. Leo, Michael J. Peluso, Mei-An Nolan, Frank A. Schildberg, Lei Zhao, Christine Lian, Shuyun Xu, Joseph Misdraji, Peter V. Kharchenko, Arlene H. Sharpe",Journal of Hepatology,Liver stromal cells restrict macrophage maturation and stromal IL-6 limits the differentiation of cirrhosis-linked macrophages,21/01/2022,,Chromium,GSE168933,,RNA-seq,,,,,,,,,,,,,10.1016/j.jhep.2021.12.036,1,Buonomo et al JHepatology,1,12
1658,Cai et al JEM,10.1084/jem.20211777,3,"Therefore, the analysis included three PBMC and four pleural fluid mononuclear cell (PFMC) samples",,Human,,Blood,Blood,1,,,"Yi Cai, Yejun Wang, Chenyan Shi, Youchao Dai, Fuxiang Li, Yuzhong Xu, Peize Zhang, Fanhui Kong, Guofang Deng, Zhihua Wen, Qi Zhou, Boxi Chris Kang, Amit Singhal, Qianting Yang, Carl G. Feng, Xinchun Chen",Journal of Experimental Medicine,Single-cell immune profiling reveals functional diversity of T cells in tuberculous pleural effusion,21/01/2022,,,,,RNA-seq,,Tuberculosis,,,,,,,,,,,10.1084/jem.20211777,1,Cai et al JEM,1,
1659,Hu et al Diabetes,10.2337/db21-0551,5,,"The number of donors (patients) analyzed in this study is 44. 

Source sentence: ""Here, we report single-cell RNA sequencing (scRNA-seq) data for >205,000 cells from highly purified NK cells of 44 healthy donors.""",Human,"6,894",Eye,Visual system,3,,,"Zizhong Hu, Xiying Mao, Mingkang Chen, Xinjing Wu, Tianye Zhu, Yu Liu, Zhengyu Zhang, Wen Fan, Ping Xie, Songtao Yuan, Qinghuai Liu",Diabetes,Single-cell transcriptomics reveals novel role of microglia in fibrovascular membrane of proliferative diabetic retinopathy.,21/01/2022,,,,,RNA-seq,,,,8,Yes,,,,,,,,10.2337/db21-0551,1,Hu et al Diabetes,1,5
1660,Elorbany et al PLOSGenetics,10.1371/journal.pgen.1009666,19,,,Human,"230,786",Culture,,,,,"Reem Elorbany, Joshua M. Popp, Katherine Rhodes, Benjamin J. Strober, Kenneth Barr, Guanghao Qi, Yoav Gilad, Alexis Battle",PLoS Genet,Single-cell sequencing reveals lineage-specific dynamic genetic regulation of gene expression during human cardiomyocyte differentiation,20220121,,Drop-seq,GSE175634,,RNA-seq,,,,,,,,,,,,,10.1371/journal.pgen.1009666,1,Elorbany et al PLOSGenetics,1,19
1661,Guo et al CInsight,10.1016/j.cellin.2022.100005,11,,,Human,"61,397",Blood,Blood,1,,,"Qinglong Guo, Yu Zhong, Zhifeng Wang, Tingzhi Cao, Mingyuan Zhang, Peiyan Zhang, Waidong Huang, Jing Bi, Yue Yuan, Min Ou, Xuanxuan Zou, Guohui Xiao, Yuan Yang, Shiping Liu, Longqi Liu, Zhaoqin Wang, Guoliang Zhang, Liang Wu",Cell Insight,Single-cell transcriptomic landscape identifies the expansion of peripheral blood monocytes as an indicator of HIV-1-TB co-infection,21/01/2022,,DNBelab C4,CNP0002505,,RNA-seq,,"HIV-1, Tuberculosis",,,,,,,,,,,10.1016/j.cellin.2022.100005,1,Guo et al CInsight,1,11
1662,Gönenc et al HMG,10.1093/hmg/ddab373,5,,,Human,,Culture,,,,,"Ipek Ilgin Gönenc, Alexander Wolff, Julia Schmidt, Arne Zibat, Christian Müller, Lukas Cyganek, Loukas Argyriou, Markus Räschle, Gökhan Yigit, Bernd Wollnik",Human Molecular Genetics,Single-cell transcription profiles in Bloom syndrome patients link BLM deficiency with altered condensin complex expression signatures,20220124,,ICELL8,,,RNA-seq,,Bloom syndrome,,,,,,,,,,,10.1093/hmg/ddab373,1,Gönenc et al HMG,1,5
1663,Jasso et al PLoSBiology,10.1371/journal.pbio.3001532,,,,Mouse,,Culture,,,,,"Guadalupe J. Jasso, Alok Jaiswal, Mukund Varma, Tyler Laszewski, Angelo Grauel, Abdifatah Omar, Nilsa Silva, Glenn Dranoff, Jeffrey A. Porter, Keith Mansfield, Viviana Cremasco, Aviv Regev, Ramnik J. Xavier, Daniel B. Graham",PLoS Biol,Colon stroma mediates an inflammation-driven fibroblastic response controlling matrix remodeling and healing,20220127,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1371/journal.pbio.3001532,1,Jasso et al PLoSBiology,1,
